Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
68134,"гр. София, ж.к. Младост 1, до бл.72А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Връбница, ул. Златен клас 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Сухата река, ул. Тодорини кукли 47","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Гевгелийски, ул. Мачуково, срещу бл. 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Люлин 10, ул. Гоце Делчев (УПИ 8, кв.32)","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Красна поляна, ул. Суходолска №2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Дианабад, ул. Васил Калчев 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ул. Костенски водопад 102","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Овча купел-2, до бл. 18","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Лозенец, ул. Персенк 22, бл. 34","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Иван Вазов, ул.  Стефан Малинов 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Стрелбище, ул. Червена роза 50","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Дружба 2, до бл. 311","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Изток, ул. Атанас Далчев 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, кв. Редута ул. Атанас Узунов 14","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, кв. Борово до бл. 232","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, жк. Младост 2,  ул.Васил Златарски 3","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Лагера, ул. Баба Илийца 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56407,"гр. Пирдоп, ул. Васил Левски 8  ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
72343,"гр. Тетевен, Площад Сава Младенов 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
39921,"гр. Кричим, пл. Демокрация №8","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
55302,"гр. Панагюрище, ул. Макгахан №2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Дружба, до бл.86","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Мусагеница, ул. Боян Дановски 11","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Младост 4, ул. Бъднина 15","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
14711,"гр. Генерал Тошево, ул. Иван Вазов 24","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
16359,"гр. Горна Оряховица, ул. Васил Левски 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
67653,"гр. Смолян, бул. България 4, ет. 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Разсадника, бл. 129-130, вх. Г, ет. Партер","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Младост 2, между блок 206 и 209","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
55871,"гр. Перник 1, кв. Димова махала, до OMV","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
38902,"гр. Костенец,  Центр. градска част, кв. 89, ул. Търговска","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
55871,"гр. Перник 2, кв. ""Изток"", ул. Благой Гебрев,  35А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
65231,"гр. Самоков, ул. Искър 2А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
12259,"гр. Враца, ж.к. Дъбника, кв.119, комплекс РУМ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
48489,"гр. Монтана, бул. Ген. Арнолди 6","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
41112,"гр. Кюстендил, ул. Тинтява № 49","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
44238,"гр. Лом, УПИ III в кв. 97, ул. Аспарух № 13","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
3928,"гр. Берковица, ул. Александровскa 65б","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
7702,"гр. Бяла Слатина, ул. Търнавска 41 А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
37798,"гр. Козлодуй, ул. Освободител 47","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
53535,"гр. Омуртаг, ул. Цар Освободител 33","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
55052,"гр. Павликени, бул. Руски 39","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
57652,"гр. Попово, ул. „Панайот Хитов” 9","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
61460,"гр. Раднево, ул. Митьо Станев 4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
61577,"гр. Радомир, ул. Милан Грънчаров 1а","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, Възкресение, бул. Възкресение 85","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
70528,"гр. Съединение, ул. Александър Стамболийски 4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
43952,"гр. Ловеч, бул. Мизия 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
87374,"гр. Ямбол, ул. „Преслав"" №266","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
20482,"гр. Девня, бул. Съединение №111","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
61813,"гр. Разлог, ул. Гоце Делчев 53","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Дружба 1, ул. „5030“ 6","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
38978,"гр. Костинброд, ул. Йордан Йовков 39","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
35167,"гр. Казанлък, бул. „Княз Александър Батенберг“ 217","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56722,"гр. Плевен, ж.к. Сторгозия № 79","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
61710,"гр. Разград, ж.к. Орел, ул. Юмрукчал 15","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
73198,"гр. Троян, ул. Опълченска 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
36525,"гр. Карнобат, ул. Промишлена зона 29","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Люлин 9, ул. Асен Николов 19","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
87374,"гр. Ямбол, ул. Търговска 85","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
51500,"гр. Несебър, ул. ж.к.Черно море 40-42","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
51809,"гр. Нова Загора, ул. Христо Ботев № 33","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
10971,"гр. Видин, ул. Железничарска №19","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
27632,"гр. Етрополе, бул. Партизанска №1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
151,гр. Айтос ул.Хаджи Димиър 27,"Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, бул. Съединение, РУМ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, бул. Васил Априлов 102","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
702,"гр. Асеновград, ул. Александър Стамболийски 7","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, кв. Христо Смирненски, ул. Равнища 4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
59080,"гр. Първомай,  ул. Орфей 16","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ж.к. Христо Смирненски, ул. Вечерница 3","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ж.к. Христо Смирненски, ул. Йордан Гавазов 23","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ж.к. Гагарин, ул. Огражден, п.к.№400","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, бул. Васил Левски № 3, ет. 1, обект маг. 2 ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ж.к. Изгрев, ул. Герлово 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, район Централен, ул. Капитан Райчо 32, бл.16, ет.1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ж.к. Тракия, бл.14, вх.1, ет.1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, бул. Александър Стамболийски №33, вх. В, ет. – 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, кв. Христо Смирненски, бул. Пещерско шосе № 133 /КОРОНА/","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, бул. Ген. Столетов №70","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, бул. Райко Даскалов № 15","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
27382,"гр. Елхово, ул. Александър Стамболийски № 167","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68850,"гр. Стара Загора, ул . Загорка №44","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
52009,"гр. Нови Пазар, ул. Оборище 29","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
65677,"гр. Свиленград, ул. Гео Милев № 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
58356,"гр. Приморско, ул. Перун 3-5","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
7598,"гр. Бяла, ул. Брегова 29","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
65766,"гр. Свищов, ул. Люлин №20","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
4501,"гр. Бобов дол, ул. Димитър Благоев №28","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
35064,"гр. Каварна, ул. България 49, ет. -1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
51980,"гр. Стамболийски, ул.Търговски №50","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
58503,"гр. Провадия, Северна промишлена зона","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
20465,"гр. Девин, ул. Освобождение №1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
7079,"гр. Бургас, ул. Константин Величков №34 /на ъгъла с ул. Странджа №2/","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
40422,"гр. Кубрат, ул. Княз Борис I №2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
55155,"гр. Пазарджик, ул. Димчо Дебелянов №10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
57491,"гр. Поморие, ул. Професор Стоянов №23","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
77195,"гр. Хасково, м. Увата №214.4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
51500,"гр. Несебър, кв. „Пясъците“ № 15","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
10135,"гр. Варна, Бизнес парк, сграда Б, ул. Ян Палах №10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
7079,"гр. Бургас, кв. Славейков","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
21912,"гр. Долни чифлик, ул. Тича №25","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
35167,"гр. Казанлък, ул. Бачо Киро №4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
17974,"гр. Средец, ул. Никола Попов 2А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
65334,"гр.Сандански на ул. ""Македония"" № 30, ет. -1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
5027,"гр. Божурище, бул. Европа 22","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
81414,"гр. Чирпан, ул. Неделчо Николов №5","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
10450,"гр. Велинград, ул. Хан Аспарух 2 В,Г","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
48619,"гр. Царево, ул. д-р Даниела Йорданова 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
67800,"гр. Черноморец, общ. Созопол, обл. Бургас, местност Аклади №49","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68789,"гр. Дупница, ул. Иван Вазов № 26","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
56784,"гр. Пловдив, ул. Шипка №6","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Люлин 3, бул. Панчо Владигеров 44","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, Студентски град, ул. Академик Борис Стефанов 38","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
72165,"гр. Твърдица, ул. Възраждане 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
72165,"гр. Твърдица, ул. Княз Борис I 54","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
72624,"гр. Добрич, ул. Капитан Д. Списаревски №30","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, бул. България, пл. Ручей","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47, 1.35 
68134,"гр. София, ж.к. Младост 1, до бл.72А",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Люлин-2, до бл. 227",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Връбница, ул. Златен клас 10",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Сухата река, ул. Тодорини кукли 47",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Гевгелийски, ул. Мачуково, срещу бл. 1",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Люлин 10, ул. Гоце Делчев (УПИ 8, кв.32)",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Красна поляна, ул. Суходолска №2",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Дианабад, ул. Васил Калчев 10",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ул. Костенски водопад 102",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Овча купел-2, до бл. 18",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Лозенец, ул. Персенк 22, бл. 34",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Иван Вазов, ул.  Стефан Малинов 2",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Стрелбище, ул. Червена роза 50",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Дружба 2, до бл. 311",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, кв. Редута, ул. Велчо Атанасов 27",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, кв. Редута ул. Атанас Узунов 14",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, кв. Борово до бл. 232",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, жк. Младост 2,  ул.Васил Златарски 3",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Лагера, ул. Баба Илийца 2",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, кв. Слатина, ул. Камчия 1 /срещу бл.19/",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
27303,"гр. Елин Пелин, ул. Стоян Михайловски 5",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56407,"гр. Пирдоп, ул. Васил Левски 8  ",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
72343,"гр. Тетевен, Площад Сава Младенов 1",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
39921,"гр. Кричим, пл. Демокрация №8",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Дружба, до бл.86",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Мусагеница, ул. Боян Дановски 11",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Младост 4, ул. Бъднина 15",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Разсадника, бл. 129-130, вх. Г, ет. Партер",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Младост 2, между блок 206 и 209",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
55871,"гр. Перник 1, кв. Димова махала, до OMV",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
38902,"гр. Костенец,  Центр. градска част, кв. 89, ул. Търговска",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
55871,"гр. Перник 2, кв. ""Изток"", ул. Благой Гебрев,  35А",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
65231,"гр. Самоков, ул. Искър 2А",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
12259,"гр. Враца, ж.к. Дъбника, кв.119, комплекс РУМ",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
48489,"гр. Монтана, бул. Ген. Арнолди 6",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
41112,"гр. Кюстендил, ул. Тинтява № 49",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
3928,"гр. Берковица, ул. Александровскa 65б",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
7702,"гр. Бяла Слатина, ул. Търнавска 41 А",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
37798,"гр. Козлодуй, ул. Освободител 47",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
53535,"гр. Омуртаг, ул. Цар Освободител 33",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
55052,"гр. Павликени, бул. Руски 39",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
61460,"гр. Раднево, ул. Митьо Станев 4",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
61577,"гр. Радомир, ул. Милан Грънчаров 1а",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, Възкресение, бул. Възкресение 85",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
70528,"гр. Съединение, ул. Александър Стамболийски 4",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
87374,"гр. Ямбол, ул. „Преслав"" №266",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
20482,"гр. Девня, бул. Съединение №111",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
17395,"гр. Гоце Делчев, ул. Панаирски Ливади 7",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
61813,"гр. Разлог, ул. Гоце Делчев 53",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Дружба 1, ул. „5030“ 6",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
38978,"гр. Костинброд, ул. Йордан Йовков 39",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
35167,"гр. Казанлък, бул. „Княз Александър Батенберг“ 217",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56722,"гр. Плевен, ж.к. Сторгозия № 79",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
61710,"гр. Разград, ж.к. Орел, ул. Юмрукчал 15",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
73198,"гр. Троян, ул. Опълченска 1",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
44327,"гр. Луковит, ул. Момчилец 1",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, ж.к. Люлин 9, ул. Асен Николов 19",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
87374,"гр. Ямбол, ул. Търговска 85",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
51500,"гр. Несебър, ул. ж.к.Черно море 40-42",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
357,гр. Нови Искър ул.Искърско дефиле 116,Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
51809,"гр. Нова Загора, ул. Христо Ботев № 33",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
10971,"гр. Видин, ул. Железничарска №19",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
27632,"гр. Етрополе, бул. Партизанска №1",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
151,гр. Айтос ул.Хаджи Димиър 27,Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, бул. Съединение, РУМ",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, бул. Васил Априлов 102",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
702,"гр. Асеновград, ул. Александър Стамболийски 7",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, кв. Христо Смирненски, ул. Равнища 4",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, ж.к. Христо Смирненски, ул. Вечерница 3",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, ж.к. Христо Смирненски, ул. Йордан Гавазов 23",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, ж.к. Гагарин, ул. Огражден, п.к.№400",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, бул. Васил Левски № 3, ет. 1, обект маг. 2 ",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, ж.к. Изгрев, ул. Герлово 1",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, район Централен, ул. Капитан Райчо 32, бл.16, ет.1",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, ж.к. Тракия, бл.14, вх.1, ет.1",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, бул. Александър Стамболийски №33, вх. В, ет. – 1",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
56784,"гр. Пловдив, кв. Христо Смирненски, бул. Пещерско шосе № 133 /КОРОНА/",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, бул. Ген. Столетов №70",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68134,"гр. София, бул. Райко Даскалов № 15",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
27382,"гр. Елхово, ул. Александър Стамболийски № 167",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
68850,"гр. Стара Загора, ул . Загорка №44",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
39970,"гр. Крумовград, ул. Княз Борис I",Прясно мляко ВЕРЕЯ 3% 1л,395003,6,1.56,
